Date OMX,Close/Last OMX,Open OMX,High OMX,Low OMX,Date NASDAQ,Close/Last NASDAQ,Open NASDAQ,High NASDAQ,Low NASDAQ
11/06/2025,2353.5,2353.5,2374.47,2348.38,11/06/2025,25130.04,25568.24,25568.24,25083.24
11/05/2025,2349.69,2349.69,2366.55,2321.01,11/05/2025,25620.03,25433.23,25750.89,25364.9
11/04/2025,2358.72,2358.72,2373.64,2332.82,11/04/2025,25435.7,25580.34,25762.23,25415.62
11/03/2025,2375.6,2375.6,2391.63,2375.38,11/03/2025,25972.94,26114.11,26132.87,25887.88
10/31/2025,2372.85,2376.53,2399.09,2372.09,10/31/2025,25858.13,26055.97,26063.49,25761.28
10/30/2025,2399.79,2399.79,2408.36,2386.66,10/30/2025,25734.81,25953.78,26031.68,25732.39
10/29/2025,2413.95,2413.95,2425.78,2411.07,10/29/2025,26119.85,26147.72,26182.1,25907.45
10/28/2025,2416.5,2416.5,2418.4,2401.84,10/28/2025,26012.16,25932.64,26087.48,25864.49
10/27/2025,2411.74,2411.74,2413.6,2398.81,10/27/2025,25821.55,25701.95,25839.03,25656.38
10/24/2025,2405.68,2404.01,2408.35,2392.68,10/24/2025,25358.16,25307.75,25418.64,25288.71
10/23/2025,2398.56,2398.56,2399.07,2379,10/23/2025,25097.42,24869.6,25126.78,24856.34
10/22/2025,2379.1,2379.1,2387.5,2371.27,10/22/2025,24879,25093.64,25127.06,24652.11
10/21/2025,2394.52,2394.52,2395.4,2373.78,10/21/2025,25127.13,25139.8,25178.23,25043.06
10/20/2025,2388.92,2388.92,2389.32,2364.4,10/20/2025,25141.02,24991.1,25183.81,24988.67
10/17/2025,2348.54,2349.46,2361.24,2326.24,10/17/2025,24817.95,24600.55,24881.47,24511.59
10/16/2025,2400.74,2400.74,2401.26,2379.06,10/16/2025,24657.24,24882.22,24998.3,24481.17
10/15/2025,2381.03,2381.03,2384.14,2370.68,10/15/2025,24745.36,24807.34,24933.23,24496.07
10/14/2025,2357.95,2357.95,2373.05,2349.01,10/14/2025,24579.32,24442.93,24766.37,24256.28
10/13/2025,2374.64,2374.64,2377.76,2360.58,10/13/2025,24750.25,24625.74,24779.65,24540.42
10/10/2025,2379.05,2401.21,2404.35,2378.97,10/10/2025,24221.75,25116.83,25195.28,24207.15
